vod_id,clip_start,clip_end,avg_prob,max_prob,num_segments
vod_004,482.0,493.0,0.539917,0.539917,1
vod_004,647.0,658.0,0.943586,0.943586,1
vod_004,1127.0,1138.0,0.813142,0.813142,1
vod_004,1147.0,1163.0,0.827587,0.902302,2
vod_004,1167.0,1178.0,0.721285,0.721285,1
vod_004,1457.0,1468.0,0.826911,0.826911,1
vod_004,1542.0,1553.0,0.614988,0.614988,1
vod_004,1667.0,1708.0,0.684727,0.723115,5
vod_004,1777.0,1818.0,0.64741,0.807859,5
vod_004,1822.0,1838.0,0.73944,0.854835,2
vod_004,1952.0,1973.0,0.696455,0.837267,3
vod_004,1997.0,2023.0,0.667467,0.716617,3
vod_004,2027.0,2038.0,0.628944,0.628944,1
vod_004,2117.0,2128.0,0.527429,0.527429,1
vod_004,2132.0,2168.0,0.652711,0.812528,5
vod_004,2177.0,2218.0,0.802466,0.978107,7
